respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.17438526501387158,0.23099792776821126
26708,0.02607249878831553,0.034535334962297194
26709,0.22760446320030908,0.772975664793622
26710,0.549073752016097,0.8599902578520673
26711,0.3794074999935846,0.40686632374541565
26712,0.8243388051171558,0.9739876676623676
26713,0.14813400693625617,0.3511574415487603
26714,0.11671920125791302,0.11288749257102808
26715,0.038368641924355885,0.10314987287285327
26716,0.14975064969104213,0.8664364324090074
26717,0.023377485881946138,0.4701293598542765
26718,0.5073290175159283,0.5374337505637928
26719,0.12009073202659516,0.9373732607704439
26720,0.030364388490128694,0.23750967521895439
26721,0.49622607923097134,0.35754225767772413
26722,0.07527758259381023,0.08911994842237868
26723,0.7495185513855187,0.9407571151628672
26724,0.07280765701218316,0.7876457430287589
26725,0.031063546685951068,0.08283337120380896
26726,0.04104491670213656,0.03579333125961829
26727,0.494703706540701,0.919801931048453
26728,0.21279705528799422,0.4527494392592548
26729,0.03314505366555815,0.22669781877878123
26730,0.036130213209658035,0.13508106828752445
26731,0.03588893769183872,0.3589238732304987
26732,0.09446389185529518,0.08374831782732754
26733,0.9149637315718756,0.9321485326176494
26734,0.743393351196747,0.227963875725697
26735,0.08832069324611706,0.19354384996048504
26736,0.07548240540715292,0.11932843927165906
26737,0.03507442253404025,0.14543698257506904
26738,0.8047812555587142,0.878052463481971
26739,0.10202466936045117,0.18598460312879403
26740,0.17145196793228432,0.1528918969471354
26741,0.0468914402405469,0.8488687740816883
26742,0.12429695205884672,0.44927504084953324
26743,0.044522208649240315,0.45354812090064583
26744,0.041673551444909154,0.7244225486569232
26745,0.05571065994615802,0.7322747873577443
26746,0.15155678520697968,0.29838756244222425
26747,0.03830055290750628,0.2033462797035321
26748,0.0787150254536559,0.10360546383928237
26749,0.07398355467169788,0.6812553645956522
26750,0.2722618232168661,0.7534014601378644
26751,0.5476974874426568,0.6957982338156599
26752,0.06137938983928888,0.07093746763906618
26753,0.2798690904308606,0.6005055704916503
26754,0.08799413889090803,0.4525637309147096
26755,0.03603102528184946,0.4622066364869545
26756,0.041337249638605245,0.05039916801011553
26757,0.18882841032226555,0.42416416836549414
26758,0.4018978642256297,0.6845249795345101
26759,0.02083922713084479,0.14981996894053798
26760,0.034661605229804146,0.09544814753969823
26761,0.21021774574039517,0.8232625020021377
26762,0.1915926053515576,0.7842702208170923
26763,0.863584521747313,0.929037032544279
26764,0.9103258213201082,0.9517788238633432
26765,0.02490454417748385,0.713451440106711
26766,0.1836967533031368,0.1507240794546155
26767,0.8663507257975198,0.7948099806194838
26768,0.022457299950145105,0.4398774564593055
26769,0.07324353299705055,0.17065303536956303
26770,0.06522957923398699,0.49102789545722636
26771,0.024822770654376134,0.13040664711771469
26772,0.06792783975650185,0.5164117216833981
26773,0.02180424933091148,0.16689277929138302
26774,0.04021266288445366,0.4173767855324015
26775,0.037842508010921226,0.3851687007695919
26776,0.31357739793206063,0.3475427595086203
26777,0.10005852045117343,0.9431331145286678
26778,0.10688054619526487,0.062199299708169356
26779,0.17047168327595846,0.6440510104357706
26780,0.07430332573556439,0.889747089635016
26781,0.03127993145687374,0.4058008198846069
26782,0.06887412278086627,0.3238361806250038
26783,0.03060379164875043,0.3008169153124585
26784,0.25709701205753116,0.8488709633312602
26785,0.2573871472428197,0.4580775017008902
26786,0.04854475320245781,0.16412286550465205
26787,0.05825955392465283,0.5784634674773754
26788,0.04848937714713978,0.888899377651048
26789,0.015627908533025578,0.1874232863649948
26790,0.02811034928971085,0.19125210893742922
26791,0.048364106651833466,0.12527545542848204
26792,0.05909849615004766,0.7782398515181843
26793,0.11445674181601571,0.9491012350775025
26794,0.5540500255313893,0.8148907635644547
26795,0.047939685915032046,0.9345589089219213
26796,0.048619920749184434,0.07997002790682119
26797,0.15433149576562769,0.8567665921136672
26798,0.23765534932843363,0.19812015871716948
26799,0.3570427942817641,0.2837347068533855
26800,0.04673162117190597,0.9439921887525863
26801,0.18340359366131287,0.11193940575084432
26802,0.11397733370314969,0.13209626688903903
26803,0.029828578343409087,0.1549368856925872
26804,0.05392876328545425,0.09976017146677132
26805,0.07152604011763769,0.17350519523258534
26806,0.027399332422434683,0.8982092943735525
26807,0.37529101297856027,0.8642529822788722
26808,0.17412076539105015,0.45425637448647094
26809,0.6885340116120987,0.26326004609459897
26810,0.045312196843520586,0.1208300303214785
26811,0.018641566432802608,0.03840952581924361
26812,0.20988689041985795,0.8463381314935732
26813,0.5164248345203586,0.2104154750916814
26814,0.01844689426870067,0.6108311196475057
26815,0.01747263241777831,0.05819948120089572
26816,0.04787026549444454,0.09038932787019786
26817,0.057625858993372484,0.6504367241483644
26818,0.14455042592185474,0.27078264700763277
26819,0.15465986213059563,0.19724275230525037
26820,0.05244272287306296,0.19371374899250665
26821,0.036547817155130245,0.6205035491329048
26822,0.06205221773352248,0.603757345358359
26823,0.21034355616440117,0.39976895357922365
26824,0.02275550030437113,0.680525290386064
26825,0.37258890373065795,0.7457893245644628
26826,0.034665008546495645,0.7189673070619343
